,cycle_time_from_er_confirm,predicted_cycle_time
277,68,61.418903
278,28,33.872368
279,32,38.958275
280,32,42.12135
281,14,17.831999
282,35,35.961243
283,46,41.171803
284,41,43.36499
285,44,31.899193
286,41,35.37084
287,41,25.568602
288,21,22.490263
289,27,34.549957
290,22,35.30651
291,30,34.888424
292,42,42.407455
293,54,31.250284
294,50,58.07379
295,48,33.156
296,30,32.246407
297,17,38.65372
298,46,60.064476
299,65,40.664043
300,42,43.123997
301,32,48.669853
302,33,41.767284
303,54,51.034584
304,34,28.647001
305,42,32.50558
306,49,44.37222
307,55,57.773354
308,31,36.900227
309,45,38.77673
310,46,40.554047
311,80,80.47949
312,32,24.79259
313,45,42.447906
314,31,41.723217
315,20,26.852724
316,68,55.59044
317,35,30.626013
318,83,39.74935
319,50,58.348
320,40,35.71681
321,28,42.429375
322,19,26.459675
323,34,39.24923
324,34,39.982395
325,48,32.648315
326,19,33.588776
327,25,25.855581
328,42,29.11282
329,30,39.587833
330,48,46.7313
331,24,34.618526
332,29,28.518707
333,29,33.03044
334,35,41.35254
335,35,40.458004
336,33,33.75511
337,32,41.99592
338,89,83.284615
339,21,38.241417
340,74,73.51502
341,21,36.823444
342,29,20.731642
343,38,33.964287
344,42,50.60086
345,38,42.658943
346,38,39.51819
347,29,36.53118
348,47,45.054363
349,42,50.160706
350,41,49.20061
351,22,34.102524
352,40,38.20104
353,39,38.163376
354,57,49.250904
355,42,51.274136
356,29,35.903942
357,36,33.63036
358,63,49.236107
359,85,56.426003
360,31,54.679764
361,47,57.77537
362,45,42.657463
363,38,21.991096
364,31,30.444479
365,38,57.62978
366,27,25.276957
367,56,41.365482
368,21,26.95985
369,25,34.214394
370,67,49.879013
371,34,37.67463
372,15,34.278976
373,77,52.091297
374,42,36.11586
375,28,32.26871
376,36,30.924686
377,66,55.165314
378,28,32.616932
379,31,19.116915
380,26,31.261663
381,35,24.963646
382,18,39.169506
383,50,45.349167
384,56,47.97819
385,37,46.190266
386,52,27.824064
387,40,51.372646
388,49,42.217846
389,42,25.549707
390,26,18.86094
391,17,24.189205
392,25,36.41229
393,34,35.71484
394,33,28.198692
395,57,63.541336
396,25,30.175959
397,68,69.59625
398,44,43.472984
399,35,35.221233
400,36,46.918842
401,25,27.841957
402,32,29.901258
403,68,62.73473
404,35,31.341846
405,28,39.463062
406,33,46.847782
407,27,26.808065
408,20,34.709526
409,29,37.547806
410,38,33.116245
411,23,22.464344
412,53,30.693756
413,36,34.946472
414,34,36.109966
415,33,39.185966
416,44,29.368855
417,19,29.151041
418,28,32.600353
419,32,35.16592
420,46,50.67198
421,21,36.337524
422,42,38.698555
423,29,25.872355
424,74,73.98784
425,20,25.559725
426,51,50.240578
427,35,34.411068
428,38,36.217216
429,29,27.540133
430,24,44.516647
431,46,38.771652
432,20,23.069885
433,28,25.227844
434,29,39.740524
435,42,38.394512
436,30,35.905556
437,26,37.378326
438,74,56.306396
439,54,45.976185
440,50,27.279776
441,34,42.995567
442,31,26.734941
443,58,34.48946
444,25,31.917671
445,57,51.90498
446,20,18.934576
447,41,46.158306
448,36,40.689533
449,39,28.796806
450,22,33.553135
451,37,32.163784
452,31,21.911123
453,40,44.36972
454,43,40.982574
455,69,45.051125
456,42,46.414833
457,22,24.432089
458,33,32.886196
459,73,66.56344
460,39,41.798576
461,83,77.84878
462,73,44.323612
463,30,46.220974
464,19,38.26852
465,18,29.795225
466,35,49.073658
467,47,49.22864
468,27,31.776365
469,24,35.73575
470,22,36.74265
471,69,50.72865
472,41,49.985622
473,48,40.284283
474,29,31.069307
475,46,40.253048
476,19,35.385265
477,13,29.182455
